Date,Description,Amount
01/27/2026,HOTELCOM733581478678HOTELS.COM          WA,-465.52
01/27/2026,MOBILE PAYMENT - THANK YOU,-15573.13
01/26/2026,HOTELCOM733581478678HOTELS.COM          WA,465.52
01/25/2026,ELEVENLABS.IO       NEW YORK            NY,23.95
01/25/2026,HOTELCOM733570429232HOTELS.COM          WA,210.16
01/25/2026,VANTA.COM           SAN FRANCISCO       CA,3500.00
01/23/2026,HOTELCOM733556924126HOTELS.COM          WA,420.32
01/21/2026,BEST WESTERN COYOTE SAN MATEO           CA,420.07
01/21/2026,CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,217.75
01/20/2026,AMC 9640 ONLINE*9640LEAWOOD             KS,27.99
01/19/2026,DELTA AIR LINES,11.20
01/19/2026,DELTA AIR LINES,652.99
01/14/2026,RECRUIT PRO         LONG ISLAND CITY    NY,149.00
01/11/2026,CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,217.75
01/11/2026,MOBILE PAYMENT - THANK YOU,-9195.76
01/05/2026,DELTA AIR LINES,329.49
01/05/2026,DELTA AIR LINES,403.30
01/05/2026,DELTA AIR LINES,607.99
01/01/2026,AUTOPAY PAYMENT - THANK YOU,-6781.27
01/01/2026,GOOGLE*CLOUD N9XR9F CC GOOGLE.COM,4672.97
12/31/2025,GOOGLE*CLOUD 6RMZGN  G.CO HELPPAY#,10000.00